Account No,total_transactions,total_spent,median_transaction,mean_transaction,business_interactions,user_interactions,median_balance,most_recent_transaction
101531259.0,110,17627.579999999998,88.58,160.25072727272726,"['LBG', 'Disney', 'Grand Union BJJ', 'Matalan', 'Topshop', 'Tesco', 'Head', 'Deliveroo', 'Five Senses Art', 'JustEat', 'Fat Face', 'Sports Direct', 'Brilliant Brushes']",[],121.48549999999969,2023-12-05 12:44:00
104832000.0,150,25115.52,49.92,167.4368,"['LBG', 'Netflix', 'Grand Union BJJ', 'Blizzard', 'Tesco', 'Gamestation', 'Etsy', 'JustEat', 'Boots', 'Xbox', 'Deliveroo', 'SquareOnix', 'Mojang Studios', 'A Cut Above']",[587923845.0],-1570.9123589058456,2023-12-03 10:53:00
105375973.0,146,10067.28,48.16,68.95397260273973,"['PureGym', 'Netflix', 'Amazon', ""Blackwell's"", 'Tesco', 'The Crown', 'Sports Direct', 'Coop Local', 'Lloyds Pharmacy', 'Topshop', 'Sainsbury Local', 'Selfridges', 'Fitted Stitch', 'Sainsbury', 'Etsy', 'Loosely Fitted', 'JustEat', 'AMAZON', 'Deliveroo', 'Fat Face', 'Revella']",[],144.1149599869517,2023-12-03 12:32:00
106601471.0,180,7760.01,19.965,43.11116666666667,"['Mojang Studios', 'Netflix', 'The Crown', ""Blackwell's"", 'Tesco', 'Gamestation', 'Fitted Stitch', 'Deliveroo', 'SquareOnix', 'Xbox', 'Revella', 'Fat Face', 'Topshop', 'Selfridges', 'Blizzard', 'The Works', 'Matalan', 'JD Sports', 'JustEat', 'Amazon', 'Boots', 'Lloyds Pharmacy', 'Coop Local', 'Etsy', 'Loosely Fitted', 'Sports Direct', 'AMAZON', 'Sainsbury', 'Sainsbury Local']",[],7355.841599818385,2023-12-06 20:43:00
108481285.0,344,15062.28,21.509999999999998,43.78569767441861,"['Disney', 'Amazon', 'PureGym', ""Blackwell's"", 'Sainsbury Local', 'The Works', 'Sports Direct', 'Sainsbury', 'Fat Face', 'Topshop', 'Revella', 'Tesco', 'Lloyds Pharmacy', 'Loosely Fitted', 'Fitted Stitch', 'Brilliant Brushes', 'Matalan', 'AMAZON', 'Selfridges', 'Deliveroo', 'Five Senses Art', 'Boots', 'Etsy', 'Coop Local', 'Hobby Lobby', 'JustEat', 'Reebok']",[913801979.0],7284.8253138273685,2023-12-06 03:36:00
108563213.0,386,16493.64,23.28,42.729637305699484,"['SquareOnix', 'Mojang Studios', 'Amazon', 'Netflix', 'PureGym', 'The Works', 'Tesco', 'Sports Direct', 'Matalan', 'Topshop', 'Revella', 'Fat Face', 'JustEat', 'Gamestation', 'Coop Local', 'Blizzard', 'Loosely Fitted', 'AMAZON', 'Etsy', 'Boots', 'Selfridges', 'Lloyds Pharmacy', 'Sainsbury', 'Sainsbury Local', 'Fitted Stitch', 'Deliveroo', 'Xbox', ""Blackwell's""]",[],18304.667429294816,2023-12-06 06:53:00
108812033.0,168,9641.1,37.945,57.3875,"['Xbox', 'Mojang Studios', 'Netflix', 'PureGym', 'Grand Union BJJ', 'The Works', 'Tesco', 'Reebok', 'Sports Direct', 'Gamestation', 'Blizzard', 'SquareOnix', 'JustEat', 'Deliveroo', 'Brilliant Brushes', 'Five Senses Art']",[],930.4390749999986,2023-12-06 12:50:00
108931112.0,361,38492.43,34.49,106.6272299168975,"['LBG', 'Netflix', 'Amazon', 'Blizzard', 'Tesco', 'Cass Art', 'The Crown', 'Gap Kids', 'Mojang Studios', 'SquareOnix', 'Hobby Lobby', 'Fat Face', 'Topshop', 'Brilliant Brushes', 'Five Senses Art', 'Sports Direct', 'Xbox', 'Deliveroo', 'Revella', 'JustEat', 'Etsy', 'Fitted Stitch', 'AMAZON', 'Lloyds Pharmacy', 'Loosely Fitted', 'Selfridges', 'Matalan', 'Coop Local', 'Sainsbury', 'Sainsbury Local', 'Boots']",[646840694.0],11981.77206876578,2023-12-06 11:43:00
111137699.0,107,21786.87,76.11,203.61560747663552,"['LBG', 'Netflix', 'PureGym', 'The Works', 'Tesco', 'Matalan', 'Sports Direct', 'Brilliant Brushes', 'Coop Local', 'JustEat', 'Topshop', 'Deliveroo']",[165098840.0],-46.2006999999994,2023-12-01 00:00:00
113747882.0,432,16186.61,22.37,37.46900462962963,"['Mojang Studios', 'Xbox', 'Disney', 'Amazon', 'PureGym', ""Blackwell's"", 'Tesco', 'Hobby Lobby', 'CeX', 'Sports Direct', 'Stitch By Stitch', 'Gamestation', 'JustEat', 'Wool', 'The Works', 'Blizzard', 'Sainsbury Local', 'Selfridges', 'Etsy', 'Sainsbury', 'SquareOnix', 'Fitted Stitch', 'Deliveroo', 'Coop Local', 'Loosely Fitted', 'Matalan', 'Revella', 'Fat Face', 'Lloyds Pharmacy', 'Topshop', 'Boots', 'AMAZON']",[],8882.22668808995,2023-12-06 04:17:00
