Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name
01/01/2023,00:00,221356538.0,714.02,-100.0,,
01/01/2023,00:00,977899503.0,2521.0200000000004,-12.99,,
01/01/2023,00:00,912584712.0,960.04,-15.99,,
01/01/2023,00:00,769311479.0,-147.94,-18.99,,
01/01/2023,12:40,175452235.0,-104.25999999999996,-319.2,,
03/01/2023,08:59,913127700.0,1157.341,-3.6,,
04/01/2023,13:19,907987693.0,738.6732999999999,-39.5,,
04/01/2023,14:18,907987693.0,622.1732999999999,-116.5,,
05/01/2023,08:22,395284483.0,699.993151199263,-5.1,,
05/01/2023,20:08,605116158.0,1678.5425999999998,-27.64,,
05/01/2023,20:56,656389634.0,1376.4453977768865,-10.47,,
06/01/2023,08:06,948558249.0,2806.583750000001,-6.15,,
06/01/2023,09:24,596171893.0,1631.1,-11.98,,
08/01/2023,10:45,930277104.0,979.62665,-106.39,,
08/01/2023,12:34,385685918.0,-1020.1000591584472,-204.0,,
08/01/2023,13:40,449387287.0,1662.104693835102,-23.96,,
10/01/2023,19:17,570575024.0,-430.2362,-72.96,,
11/01/2023,15:48,848118081.0,789.8372999999999,-52.0,,
12/01/2023,18:34,147508204.0,53.00100000000074,-212.8,,
15/01/2023,12:05,822718326.0,-212.81287941903983,-53.59,,
22/01/2023,05:34,387957305.0,1153.7505440199184,-10.53,,
23/01/2023,19:09,166019891.0,-262.4194,-59.93,,
28/01/2023,10:10,624563756.0,-471.0834815900405,-15.03,,
28/01/2023,17:44,668692488.0,-306.1249,-31.99,,
29/01/2023,11:17,417850087.0,735.9548609275189,-132.48,,
30/01/2023,12:49,352291960.0,-63.01979669642594,-51.75,,
31/01/2023,13:59,138351025.0,399.2190000000001,-50.0,,
31/01/2023,23:59,519933553.0,2306.8566439416145,-18.99,,
31/01/2023,23:59,736340277.0,2971.74364719881,-5.99,,
31/01/2023,23:59,169006407.0,4913.889770174406,-18.99,,
01/02/2023,03:02,448279144.0,853.4810999999999,-22.65,,
01/02/2023,20:38,535744551.0,1927.8229000000024,-30.67,,
02/02/2023,10:43,712474734.0,252.7681687639962,-119.0,,
04/02/2023,12:30,143003091.0,4036.506623756253,-62.97,,
10/02/2023,18:58,,-234.96724146542132,-118.6,,
12/02/2023,13:08,340321732.0,1124.9208,-5.0,,
14/02/2023,08:40,407323346.0,-1327.811932555314,-124.17,,
17/02/2023,19:23,235310449.0,-1096.5142647027224,-143.07,,
21/02/2023,09:44,277562576.0,901.8843696882914,-129.97,,
21/02/2023,11:55,254853117.0,3776.9940646567297,-180.6,,
22/02/2023,09:58,520447032.0,2050.425878856237,-99.98,,
24/02/2023,20:44,406862520.0,340.5596265374109,-93.88,,
26/02/2023,11:00,713057426.0,268.71624999999983,-19.99,,
27/02/2023,14:37,950234174.0,-259.49206303899246,-186.9,,
28/02/2023,23:59,924045955.0,3080.0699979938604,-7.99,,
02/03/2023,08:04,948558249.0,3338.32321519922,-5.35,,
02/03/2023,09:57,657528784.0,717.7529000000003,-19.97,,
06/03/2023,16:23,871200314.0,465.8164577708051,-56.99,,
07/03/2023,09:46,657139925.0,4064.839200000004,-79.08,,
10/03/2023,09:10,169006407.0,6056.252905964407,-5.65,,
10/03/2023,16:32,604334058.0,-639.0414000000003,-6.0,,
11/03/2023,19:10,137822385.0,1652.5626677355815,-86.94,,
12/03/2023,15:22,838830098.0,348.67319208778554,-67.98,,
14/03/2023,11:06,441142605.0,1399.364099999999,-54.38,,
17/03/2023,09:02,815993333.0,-381.15035000000046,-57.99,,
20/03/2023,12:48,519644021.0,3075.904629296756,-133.0,,
21/03/2023,13:56,948558249.0,2781.267277770164,-75.89,,
22/03/2023,09:32,945054126.0,-473.4756000000001,-57.67,,
31/03/2023,23:59,454129843.0,4935.416822642153,-770.0,,
01/04/2023,00:00,866941383.0,2341.85555,-750.0,,
31/03/2023,23:59,479456865.0,1424.7018336269389,-15.99,,
31/03/2023,23:59,252419513.0,388.019764186584,-18.99,,
31/03/2023,23:59,534097839.0,-2796.54855,-7.99,,
31/03/2023,23:59,173317688.0,-690.5582348842854,-7.99,,
02/04/2023,10:33,117273481.0,3657.941568173811,-5.99,,
06/04/2023,17:37,425964226.0,1751.3317999999997,-79.98,,
07/04/2023,19:42,642924505.0,1472.6144606254854,-12.98,,
08/04/2023,12:09,583579399.0,514.9022999999993,,,
14/04/2023,07:37,489964679.0,12724.416062546405,-62.16,,
15/04/2023,13:47,321372947.0,-357.4520507890994,-43.58,,
18/04/2023,17:46,129018172.0,2225.932766180014,-241.5,,
